Danish,English
kort,Map
sagen,the case
passer,match
luk,close
øjne,eyes
beder,Praying
lære,learn
time,hour
afsted,off
sine,Sine
spille,play
dræbte,killed
bruger,user
piger,Girls
gift,married
husker,Remembering
søster,sister
små,small
mindre,less
begynder,begins
forstået,understood
fuld,full
hjerte,heart
holdt,held
måtte,mat
huset,the House
præcis,exact
bør,ought to
land,country
by,town
røven,The ass
øje,eye
lov,law
skynd,hurry
slut,End
fred,peace
læg,Lay
smuk,beautiful
sandheden,the truth
klokken,o'clock
spørge,ask
fedt,Cool
værsgo,here you go
spiller,player
kære,Dear
slog,struck
held,luck
kæreste,girlfriend
lkke,LKKE
unge,young
miss,Miss
lever,liver
jamen,But
knægt,boy
rigtige,right
alligevel,Nevertheless
nede,Down
herrer,gentlemen
besked,message
slip,drop
roligt,Quiet
valg,choice
tænkt,thought
vis,View
findes,exist
oppe,up
lavede,made
seng,bed
kærlighed,love
fyre,guys
handler,trades
måneder,months
svin,pig
forstå,understand
masse,lot
find,find
dagen,the day
sætte,put
perfekt,Perfect
tom,empty
hoved,main
kl,at
foran,in front of
idĂ©,ID ©
fortalt,told
udenfor,Outside
muligt,possible
ansigt,face
agent,agent
forkert,wrong
rejse,trip
elskede,beloved
røv,ass
lyst,Lust
frank,Frank
stykke,piece
manden,the man
krig,war
Mrs,Mrs
ej,No.
hvert,Each
prøvede,tried
husk,Remember
foregår,going
vigtigt,important
aftale,appointment
venstre,left
endelig,finally
idiot,idiot
goddag,good day
Sam,Sam
svar,reply
spil,game
ønske,wish
plan,level
hårdt,hard
sætter,puts
dræber,kills
oh,Oh
sjov,fun
kamp,match
viser,shows
sikkerhed,security
millioner,Millions
sag,Case
chef,chief
skyde,shoot
højre,right
sender,sends
steder,places
arbejdet,the work
lykke,happiness
mening,opinion
damer,Ladies
værelse,room
hjælper,Helps
kør,drive
godmorgen,Good morning
derude,out there
betale,pay
uger,weeks
træk,Pull
klart,clearly
bede,pray
hænder,hands
godnat,good night
givet,given
kæmpe,competing
blot,Just
fly,aircraft
ligeglad,do not care
skyd,Shoot
film,movie
talte,spoke
ringede,called
lover,Lions
natten,the night
Charlie,Charlie
hente,pick up
syv,seven
pistol,pistol
værd,worth
sikke,What
forældre,parents
gutter,guys
Peter,Peter
rart,nice
let,easy
York,York
tja,Well
vinder,winner
fandens,damn
aner,Angle
sidst,last
tøj,clothes
værre,worse
harry,Harry
talt,spoken
fald,fall
dårligt,bad
general,general
dum,stupid
sove,sleep
hvide,White
træt,tired
tidligere,earlier
spørger,asks
derinde,in there
stod,stood
straks,immediately
købe,buy
skrive,write
javel,Yes
følge,follow
største,largest
mindste,minimum
kendte,Known
person,person
begyndte,began
mærke,feel
baby,Baby
fuck,Fuck
gider,Bother
skyder,Shooting
lys,light
sekunder,seconds
henter,picks up
hund,Dog
desværre,unfortunately
søde,sweetie
nød,distress
sidde,sit
skudt,shot
utroligt,Incredible
tjeneste,favor
bog,book
ende,end
tal,speak up
indenfor,within
tillykke,Congratulations
øjnene,the eyes
tv,TV
james,James
mente,meant
smule,A bit
menneske,human being
dårlig,bad
mødes,meet
skød,lap
sendt,Sent
doktor,doctor
mangler,missing
læse,read
Michael,Michael
vejret,the weather
makker,Maker
kaffe,coffee
følger,follows
enhver,any
otte,Eight
onkel,Uncle
hår,hair
større,bigger
præsident,president
løbe,run
beskytte,protect
kigger,Looking
øh,Uh
fortsæt,continue
fru,Mrs.
vild,wild
åbne,Open
dyr,animals
skade,damage
billede,image
eget,own
syg,ill
fyren,the guy
sort,black
bord,table
betaler,pays
højt,high
slået,beaten
dumme,Stupid
fest,party
George,George
vinde,win
sende,send
kig,look
mike,Mike
lod,sounded
følg,Follow
lig,corpse
spiser,Eating
mistet,lost
røvhul,asshole
sex,Sex
sid,Sid
pigen,the girl
hertil,For this
ære,honour
dame,Lady
fængsel,prison
smukt,Beautiful
lede,look for
sat,Sat
anderledes,different
mester,master
kontor,office
vii,we you
døden,Death
sendte,sent
yeah,Yeah
hent,fetch
sorte,Blacks
drikke,drinking
travlt,busy
David,David
dejligt,Nice
glemt,Forgotten
spor,track
tingene,the things
ung,young
skole,school
passe,fit
rør,tube
rette,fix
begynde,begin
betjent,Valet
forklare,explain
ide,idea
fader,Father
landet,the country
skai,Skai
hænderne,the hands
umuligt,impossible
herinde,in here
drøm,dream
kalde,Call
åben,open
alting,everything
ene,EN
meter,meters
venlig,friendly
vandet,the water
luften,the air
tør,dry
fanget,Caught
fange,capture
overhovedet,at all
forhold,relationship
råd,advice
frue,lady
jimmy,Jimmy
smukke,gorgeous
uanset,Regardless
stole,chairs
godeste,Goodest
født,born
forsigtig,cautious
faldt,dropped
send,Send
spurgte,inquired
netop,exactly
syntes,seemed
bekymret,concerned
skolen,the school
elske,love
familien,the family
falder,falling
stil,style
føles,feels
egne,own
fare,danger
brugte,Used
sover,sleeping
vende,reverse
guds,God's
forlade,leave
nar,when
dele,parts
løber,runs
tidspunkt,point in time
advokat,lawyer
halv,half
oberst,colonel
max,Max
kendt,known
mødt,met
bo,Bo
fører,driver
kende,know
slippe,let go
lærer,teacher
slås,fight
stolt,proud
stopper,stops
læge,doctor
mund,mouth
kigge,Look
drink,drink
direkte,direct
fbi,FBI
bedst,best
mord,murder
ændre,amend
nemlig,Exactly
telefon,telephone
angreb,attack
rejser,Travel
ordre,order
sikre,ensure
normalt,normally
smid,Throw
konge,king
ægte,genuine
flyve,fly
ordne,fix
skylder,owes
skriver,writes
ni,nine
rent,clean
ødelægge,destroy
skib,ship
satan,Satan
joe,Joe
fart,speed
vender,turn
brugt,used
prøvet,tried
telefonen,the phone
vore,Our
børnene,The children
krigen,the war
kontakt,Contact
gave,gift
skør,crazy
mødte,met
skrev,wrote
ærligt,honestly
bestemt,specific
ild,fire
middag,noon
ryger,Smoker
satans,Satans
naturligvis,Of course
kørte,driving
stemme,vote
slemt,Bad
bob,Bob
stand,Stand
ah,Ah
lyset,the light
problemet,The problem
paul,Paul
lukket,closed
skid,Shit
hav,sea
føle,feel
forsøger,trying
aftes,Night
fars,Father
jesus,Jesus
blå,blue
krop,body
flyt,move
historien,the story
forkerte,Incorrect
glemme,forget
pænt,nice
pris,price
mistede,lost
ma,must
alex,Alex
dĂ©r,DD
glemte,forgot
forsvind,get lost
stærk,strong
billeder,Pictures
hurtigere,faster
starte,start
nær,near
taber,loser
undskylde,excuse
frøken,miss
reddede,saved
bill,Bill
levende,live
bryder,Breaks
fleste,Most
derovre,over there
løgn,lie
lært,learned
skrevet,written
magt,power
ro,Ran
underligt,weird
venligst,Please
paris,Paris
løs,loose
an,An
dræb,Kill
selvom,though
enkelt,single
sang,song
vred,angry
øl,beer
stykker,pieces
rum,room
lyver,lies
sulten,hungry
tredje,third
musik,music
parat,ready
masser,Lots
løjtnant,lieutenant
interessant,interesting
midt,in the middle
starter,Starting
miste,lose
slipper,letting go
