Danish,English
kort,Map
sagen,the case
passer,match
luk,close
beder,Praying
lære,learn
time,hour
afsted,off
sine,Sine
spille,play
dræbte,killed
bruger,user
piger,Girls
gift,married
husker,Remembering
mindre,less
forstået,understood
fuld,full
hjerte,heart
holdt,held
måtte,mat
huset,the House
bør,ought to
land,country
øje,eye
lov,law
skynd,hurry
slut,End
fred,peace
læg,Lay
smuk,beautiful
sandheden,the truth
klokken,o'clock
spørge,ask
fedt,Cool
spiller,player
kære,Dear
slog,struck
held,luck
kæreste,girlfriend
lkke,LKKE
unge,young
miss,Miss
lever,liver
jamen,But
knægt,boy
rigtige,right
alligevel,Nevertheless
nede,Down
herrer,gentlemen
besked,message
slip,drop
roligt,Quiet
valg,choice
vis,View
findes,exist
oppe,up
lavede,made
seng,bed
kærlighed,love
fyre,guys
handler,trades
måneder,months
svin,pig
forstå,understand
masse,lot
find,find
dagen,the day
sætte,put
perfekt,Perfect
hoved,main
kl,at
foran,in front of
fortalt,told
udenfor,Outside
muligt,possible
ansigt,face
agent,agent
elskede,beloved
røv,ass
stykke,piece
manden,the man
krig,war
ej,No.
hvert,Each
prøvede,tried
foregår,going
vigtigt,important
aftale,appointment
venstre,left
endelig,finally
Sam,Sam
svar,reply
ønske,wish
plan,level
hårdt,hard
sætter,puts
dræber,kills
sjov,fun
kamp,match
viser,shows
sag,Case
chef,chief
skyde,shoot
højre,right
sender,sends
steder,places
arbejdet,the work
lykke,happiness
mening,opinion
damer,Ladies
værelse,room
hjælper,Helps
kør,drive
godmorgen,Good morning
betale,pay
uger,weeks
træk,Pull
klart,clearly
bede,pray
hænder,hands
godnat,good night
givet,given
kæmpe,competing
fly,aircraft
ligeglad,do not care
skyd,Shoot
film,movie
talte,spoke
ringede,called
lover,Lions
natten,the night
Charlie,Charlie
hente,pick up
pistol,pistol
værd,worth
sikke,What
forældre,parents
gutter,guys
Peter,Peter
rart,nice
let,easy
tja,Well
vinder,winner
fandens,damn
aner,Angle
sidst,last
tøj,clothes
værre,worse
harry,Harry
talt,spoken
fald,fall
general,general
dum,stupid
sove,sleep
hvide,White
tidligere,earlier
spørger,asks
stod,stood
straks,immediately
købe,buy
skrive,write
javel,Yes
følge,follow
mindste,minimum
kendte,Known
person,person
begyndte,began
mærke,feel
baby,Baby
fuck,Fuck
gider,Bother
skyder,Shooting
lys,light
sekunder,seconds
henter,picks up
desværre,unfortunately
søde,sweetie
nød,distress
sidde,sit
skudt,shot
utroligt,Incredible
tjeneste,favor
bog,book
ende,end
tal,speak up
indenfor,within
tillykke,Congratulations
øjnene,the eyes
tv,TV
james,James
mente,meant
smule,A bit
menneske,human being
dårlig,bad
mødes,meet
skød,lap
sendt,Sent
mangler,missing
læse,read
Michael,Michael
vejret,the weather
makker,Maker
kaffe,coffee
følger,follows
enhver,any
onkel,Uncle
hår,hair
præsident,president
løbe,run
beskytte,protect
kigger,Looking
øh,Uh
fortsæt,continue
fru,Mrs.
vild,wild
åbne,Open
dyr,animals
skade,damage
billede,image
eget,own
sort,black
bord,table
højt,high
slået,beaten
dumme,Stupid
fest,party
George,George
kig,look
mike,Mike
lod,sounded
følg,Follow
lig,corpse
spiser,Eating
mistet,lost
røvhul,asshole
sex,Sex
pigen,the girl
hertil,For this
ære,honour
dame,Lady
fængsel,prison
smukt,Beautiful
lede,look for
sat,Sat
anderledes,different
mester,master
kontor,office
døden,Death
yeah,Yeah
hent,fetch
sorte,Blacks
drikke,drinking
travlt,busy
David,David
dejligt,Nice
glemt,Forgotten
spor,track
tingene,the things
ung,young
skole,school
passe,fit
rør,tube
rette,fix
betjent,Valet
ide,idea
landet,the country
skai,Skai
hænderne,the hands
umuligt,impossible
herinde,in here
drøm,dream
kalde,Call
åben,open
ene,EN
meter,meters
venlig,friendly
vandet,the water
luften,the air
tør,dry
fanget,Caught
fange,capture
overhovedet,at all
forhold,relationship
råd,advice
frue,lady
jimmy,Jimmy
smukke,gorgeous
uanset,Regardless
stole,chairs
godeste,Goodest
født,born
forsigtig,cautious
faldt,dropped
spurgte,inquired
netop,exactly
syntes,seemed
bekymret,concerned
skolen,the school
familien,the family
falder,falling
stil,style
føles,feels
egne,own
fare,danger
brugte,Used
sover,sleeping
guds,God's
forlade,leave
nar,when
dele,parts
løber,runs
tidspunkt,point in time
advokat,lawyer
halv,half
oberst,colonel
max,Max
kendt,known
mødt,met
fører,driver
kende,know
slippe,let go
slås,fight
stopper,stops
læge,doctor
kigge,Look
drink,drink
fbi,FBI
bedst,best
mord,murder
ændre,amend
angreb,attack
rejser,Travel
ordre,order
sikre,ensure
normalt,normally
smid,Throw
ægte,genuine
ordne,fix
skylder,owes
skriver,writes
ni,nine
rent,clean
ødelægge,destroy
skib,ship
joe,Joe
fart,speed
vender,turn
brugt,used
prøvet,tried
telefonen,the phone
vore,Our
børnene,The children
krigen,the war
kontakt,Contact
skør,crazy
skrev,wrote
ærligt,honestly
bestemt,specific
ild,fire
middag,noon
ryger,Smoker
satans,Satans
naturligvis,Of course
kørte,driving
stemme,vote
slemt,Bad
bob,Bob
stand,Stand
ah,Ah
lyset,the light
problemet,The problem
paul,Paul
lukket,closed
skid,Shit
hav,sea
føle,feel
forsøger,trying
aftes,Night
fars,Father
blå,blue
krop,body
flyt,move
historien,the story
forkerte,Incorrect
pænt,nice
pris,price
mistede,lost
ma,must
alex,Alex
dĂ©r,DD
glemte,forgot
forsvind,get lost
stærk,strong
billeder,Pictures
hurtigere,faster
starte,start
nær,near
undskylde,excuse
frøken,miss
reddede,saved
bill,Bill
levende,live
fleste,Most
derovre,over there
løgn,lie
lært,learned
skrevet,written
ro,Ran
underligt,weird
venligst,Please
paris,Paris
løs,loose
an,An
dræb,Kill
selvom,though
enkelt,single
sang,song
vred,angry
øl,beer
stykker,pieces
rum,room
lyver,lies
sulten,hungry
tredje,third
musik,music
parat,ready
masser,Lots
løjtnant,lieutenant
interessant,interesting
midt,in the middle
starter,Starting
miste,lose
slipper,letting go
